1,1,28
2,1,62
3,2,25
4,2,55
5,3,22
6,3,48
7,4,144
8,4,200
9,5,45
10,5,120
11,6,30
12,6,55
13,7,35
14,7,50
15,8,30
16,8,45
17,9,45
18,9,75
19,10,40
20,10,65
21,11,60
22,11,144
23,12,35
24,12,60
25,13,30
26,13,50
27,14,60
28,14,120
29,15,35
30,15,55
31,16,60
32,16,144
33,17,45
34,17,75
35,18,30
36,18,60
37,19,60
38,19,120
39,20,35
40,20,55
41,21,45
42,21,75
43,22,30
44,22,60
45,23,40
46,23,75
47,24,45
48,24,90
49,25,35
50,25,60
51,26,60
52,26,120
53,27,25
54,27,45
55,28,30
56,28,60
57,29,60
58,29,144
59,30,40
60,30,75
61,31,30
62,31,60
63,32,45
64,32,75
65,33,40
66,33,70
67,34,60
68,34,120
69,35,45
70,35,75
71,36,50
72,36,90
73,37,30
74,37,60
75,38,30
76,38,60
77,39,35
78,39,65
79,40,30
80,40,60
81,41,30
82,41,60
83,42,60
84,42,120
85,43,45
86,43,75
87,44,60
88,44,120
89,45,45
90,45,90
91,46,45
92,46,75
93,47,60
94,47,120
95,48,60
96,48,144
97,49,45
98,49,75
99,50,60
100,50,144
101,51,60
102,51,144
103,52,45
104,52,75
105,53,45
106,53,75
107,54,60
108,54,120
109,55,50
110,55,90
111,56,60
112,56,120
113,57,45
114,57,90
115,58,60
116,58,144
117,59,45
118,59,90
119,60,60
120,60,120
121,61,60
122,61,120
123,62,60
124,62,120
125,63,45
126,63,90
127,64,30
128,64,60
129,65,45
130,65,90
131,66,50
132,66,100
133,67,45
134,67,60
135,68,45
136,68,60
137,69,35
138,69,60
139,70,45
140,70,60
141,71,40
142,71,60
143,72,60
144,72,144
145,73,45
146,73,60
147,74,30
148,74,60
149,75,60
150,75,90
151,76,45
152,76,60
153,77,45
154,77,60
155,78,45
156,78,60
157,79,30
158,79,60
159,80,45
160,80,60
161,81,45
162,81,60
163,82,40
164,82,60
165,83,30
166,83,60
167,84,35
168,84,60
169,85,60
170,85,120
171,86,45
172,86,60
173,87,45
174,87,60
175,88,45
176,88,60
177,89,40
178,89,60
179,90,45
180,90,60
181,91,45
182,91,60
183,92,45
184,92,60
185,93,60
186,93,120
187,94,60
188,94,120
189,95,45
190,95,60
191,96,45
192,96,60
193,97,45
194,97,60
195,98,60
196,98,120
197,99,45
198,99,60
199,100,30
200,100,60
